2024-03-15 16:58:55 INFO: Q:hello | A: Comparison is made based on core key specifications | country unknown
2024-03-15 16:59:28 INFO: Q:can i get contact info? | A:Please email jyyua@ls-electric.com | country unknown
2024-03-15 16:59:45 INFO: Q:what is pmg? | A:Please email jyyua@ls-electric.com | country unknown
2024-03-17 16:21:27 INFO: Q:1251255 | A:We provide optimal results with our own recommendation algorithm | South Korea
2024-03-18 10:07:08 INFO: Q:test | A: Comparison is made based on core key specifications | South Korea
2024-03-18 10:17:57 INFO: Q:124215125 | A:We don't have it yet but if you give us FEEDBACK about the SPG you need and we will review it | country unknown
2024-03-18 10:19:12 INFO: Q:test12345 | A: Comparison is made based on core key specifications | country unknown
2024-03-18 10:34:21 INFO: Q:test 123456 | A:In iec mccb it is size and frame and in ul mccb it is frame and breaking capacity | South Korea
2024-03-18 17:58:19 INFO: Q:테스트 12345 | A: Comparison is made based on core key specifications | South Korea
2024-03-19 09:57:21 INFO: Q:TEST | A: Comparison is made based on core key specifications | country unknown
2024-03-20 09:03:58 INFO: Q:can i get contact info? | A:For sales inquiry, contact our sales teams stated on the HOME page. | country unknown
2024-03-20 09:04:13 INFO: Q:Thanks! | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | country unknown
2024-03-20 10:15:45 INFO: Q:test | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-20 11:43:33 INFO: Q:Hey | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-03-20 20:40:10 INFO: Q:eee33e3e | A:The Product Match Guide(PMG) cross references many competitor products. We provide LS ELECTRIC recommendations and guide you to discover the most optimal solutions. | South Korea
2024-03-20 20:40:25 INFO: Q:deedkkldekljdekde. dede de3 de3 de | A:Currently, the PMG only provides reommendations for MCCB, ACB, MC and MCB. For information on more products, please visit Product Finder through the link on the top of the page. For more recommendations on other products, suggests improvements through our survey page! | South Korea
2024-03-21 10:23:53 INFO: Q:125125 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-21 10:29:58 INFO: Q:12512512 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | country unknown
2024-03-22 10:07:11 INFO: Q:hey | A:For sales inquiry, contact our sales teams stated on the HOME page. | country unknown
2024-03-22 12:39:59 INFO: Q:123456 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-22 12:40:14 INFO: Q:tesy | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-03-22 17:42:17 INFO: Q:Hello, can I get a contact information? | A:For sales inquiry, contact our sales teams stated on the HOME page. | country unknown
2024-03-22 17:42:42 INFO: Q:what is main feature of PMG? | A:The Product Match Guide(PMG) cross references many competitor products. We provide LS ELECTRIC recommendations and guide you to discover the most optimal solutions. | country unknown
2024-03-22 17:42:55 INFO: Q:Thanks! | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | country unknown
2024-03-22 19:25:47 INFO: Q:hello | A:For sales inquiry, contact our sales teams stated on the HOME page. | country unknown
2024-03-22 19:25:59 INFO: Q:what can I do | A:For sales inquiry, contact our sales teams stated on the HOME page. | country unknown
2024-03-22 19:26:10 INFO: Q:what are you | A:For sales inquiry, contact our sales teams stated on the HOME page. | country unknown
2024-03-22 19:26:24 INFO: Q:hello what is pmg? | A:The Product Match Guide(PMG) cross references many competitor products. We provide LS ELECTRIC recommendations and guide you to discover the most optimal solutions. | country unknown
2024-03-22 19:26:44 INFO: Q:what are the features of pmg? | A:The Product Match Guide(PMG) cross references many competitor products. We provide LS ELECTRIC recommendations and guide you to discover the most optimal solutions. | country unknown
2024-03-22 19:27:00 INFO: Q:what is PMG? | A:The Product Match Guide(PMG) cross references many competitor products. We provide LS ELECTRIC recommendations and guide you to discover the most optimal solutions. | country unknown
2024-03-22 19:27:13 INFO: Q:Can I get contact information? | A:For sales inquiry, contact our sales teams stated on the HOME page. | country unknown
2024-03-22 19:28:14 INFO: Q:what is PMG? | A:The Product Match Guide(PMG) cross references many competitor products. We provide LS ELECTRIC recommendations and guide you to discover the most optimal solutions. | country unknown
2024-03-22 19:31:06 INFO: Q:clear | A:For sales inquiry, contact our sales teams stated on the HOME page. | country unknown
2024-03-22 19:31:22 INFO: Q:what is the main feature of PMG? | A:The Product Match Guide(PMG) cross references many competitor products. We provide LS ELECTRIC recommendations and guide you to discover the most optimal solutions. | country unknown
2024-03-22 19:31:45 INFO: Q:Can I get contact information? | A:For sales inquiry, contact our sales teams stated on the HOME page. | country unknown
2024-03-22 19:31:56 INFO: Q:can I get sales person | A:For sales inquiry, contact our sales teams stated on the HOME page. | country unknown
2024-03-22 19:33:54 INFO: Q:Can I get contact information | A:For sales inquiry, contact our sales teams stated on the HOME page. | country unknown
2024-03-22 19:34:09 INFO: Q:do you know jyyu | A:The Product Match Guide(PMG) cross references many competitor products. We provide LS ELECTRIC recommendations and guide you to discover the most optimal solutions. | country unknown
2024-03-23 11:29:58 INFO: Q:125215 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:30:22 INFO: Q:ㅅㄷㄴㅅ | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-03-23 11:40:57 INFO: Q:125125 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:41:27 INFO: Q:12512424 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:41:47 INFO: Q:125125125 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:42:21 INFO: Q:125125 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:42:26 INFO: Q:65656 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:42:30 INFO: Q:7676767 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:42:43 INFO: Q:1233 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:43:55 INFO: Q:125125 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:44:09 INFO: Q:test | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 11:44:37 INFO: Q:test | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 11:44:43 INFO: Q:12444 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:44:55 INFO: Q:test | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 11:46:34 INFO: Q:1525125 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:47:20 INFO: Q:124412423 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:47:42 INFO: Q:1251243 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:51:30 INFO: Q:125123213 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:53:08 INFO: Q:tetst | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-03-23 11:54:23 INFO: Q:1234 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:54:26 INFO: Q:time | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:54:32 INFO: Q:time | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:54:37 INFO: Q:time Test1234 | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 11:54:42 INFO: Q:Time Time Time | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:54:49 INFO: Q:Time Time Time Time | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:55:02 INFO: Q:Time | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:55:05 INFO: Q:TimeTimeTime | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:55:09 INFO: Q:Minute? | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-03-23 11:55:18 INFO: Q:Time Change? | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 11:55:23 INFO: Q:Time Change | A:Use the Multi Search service to get recommendations for multiple products! Simply drop an excel file to get the optimal LS ELECTRIC solution. | South Korea
2024-03-23 11:55:27 INFO: Q:Time Time Time Time | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:55:32 INFO: Q:Time Time Time Time | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:55:37 INFO: Q:Minute Change~ | A:Use the Multi Search service to get recommendations for multiple products! Simply drop an excel file to get the optimal LS ELECTRIC solution. | South Korea
2024-03-23 11:55:42 INFO: Q:Time! | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:56:42 INFO: Q:1245234 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 11:58:07 INFO: Q:test1234 | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 11:58:40 INFO: Q:test | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 11:59:42 INFO: Q:1245125 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 12:00:05 INFO: Q:Test123456 | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
