2024-03-25 07:31:00 INFO: Item Converted | IEC/UL | EATON | Mag S/W | xtce007b10t | Country Unknown | ip None | None
2024-03-25 07:31:20 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | lc1d32b5 | Country Unknown | ip None | None
2024-03-25 07:31:35 INFO: Item Not Converted | None | None | None | af30401112 | Country Unknown | ip None | None
2024-03-25 07:31:50 INFO: Item Converted | IEC/UL | SIEMENS | Mag S/W | 3RT20452AP6 | Country Unknown | ip None | None
2024-03-25 07:47:16 INFO: Item Converted | UL | SIEMENS | ACB | 3WA13086AE016 | Country Unknown | ip None | None
2024-03-25 07:59:23 INFO: Item Not Converted | None | None | None | VVVV | South Korea | ip None | None
2024-03-25 08:06:43 INFO: Item Not Converted | None | None | None | eaton | Country Unknown | ip None | None
2024-03-25 08:07:24 INFO: Item Not Converted | None | None | None | VD4 | Country Unknown | ip None | None
2024-03-25 08:07:43 INFO: Item Not Converted | None | None | None | ���ེ ac drive | Country Unknown | ip None | None
2024-03-25 08:08:18 INFO: Item Converted | IEC | ABB | MCB | S7 | Country Unknown | ip None | None
2024-03-25 08:09:23 INFO: Item Not Converted | None | None | None | 34-df-34k | Country Unknown | ip None | None
2024-03-25 08:10:44 INFO: Item Converted | UL | Schneider Electric | MCCB | HJA36100U33X | Country Unknown | ip None | None
2024-03-25 08:11:15 INFO: Item Not Converted | None | None | None | NX-Safety | Country Unknown | ip None | None
2024-03-25 08:13:23 INFO: Item Not Converted | None | None | None | gis | Country Unknown | ip None | None
2024-03-25 08:13:50 INFO: Item Converted | UL | ABB | MCCB | XT1HU3015AFF000XXX | Country Unknown | ip None | None
2024-03-25 08:14:40 INFO: Item Not Converted | None | None | None | la63H | Country Unknown | ip None | None
2024-03-25 08:14:47 INFO: Item Converted | IEC/UL | Schneider Electric | Mag S/W | LC1D65 | South Korea | ip None | None
2024-03-25 08:15:00 INFO: Item Not Converted | None | None | None | bk63h | Country Unknown | ip None | None
2024-03-25 08:15:10 INFO: Item Not Converted | None | None | None | ����ũ����� | Country Unknown | ip None | None
